# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.339807323800e+13       4.211234650128e-24       3.459899744485e-08       3.872455532629e+20       1.385745002625e+04       1.034286779904e-09       1.856631303436e+17       1.997539061852e-08       8.866423304082e+40       4.805020371119e+30       3.123263241228e+31       8.332451495720e+15      -4.000000000000e-01       6.129488544499e+40       1.499591185219e+41       1.499591185219e+41       4.998637282860e+40      -5.779040092635e+48       3.525838317120e-05       3.983969659259e-01 
       1.325482886016e+13       4.302747753017e-24       3.497189027257e-08       3.790094111048e+20       1.385745002625e+04       1.045464273620e-09       1.836781285361e+17       2.019126382453e-08       8.493282521464e+40       4.652544813859e+30       3.024154129008e+31       8.172783478988e+15      -4.000000000000e-01       5.871530845651e+40       1.436481337060e+41       1.436481337060e+41       4.788271122372e+40      -5.476645039923e+48       3.540937229820e-05       3.966981611732e-01 
       1.311311596758e+13       4.396249500255e-24       3.535024006851e-08       3.709484395513e+20       1.385745002625e+04       1.056762562041e-09       1.817143492092e+17       2.040946996318e-08       8.135845257490e+40       4.504907695099e+30       2.928190001814e+31       8.016175051089e+15      -4.000000000000e-01       5.624429219688e+40       1.376027448056e+41       1.376027448056e+41       4.586758159059e+40      -5.190073163108e+48       3.556036142520e-05       3.950137826544e-01 
       1.297291818653e+13       4.491783106545e-24       3.573222784325e-08       3.630589129817e+20       1.385745002625e+04       1.068182950589e-09       1.797715654645e+17       2.063003424640e-08       7.793450634255e+40       4.361955478841e+30       2.835271061247e+31       7.862567583660e+15      -4.000000000000e-01       5.387726792020e+40       1.318117742955e+41       1.318117742955e+41       4.393725808758e+40      -4.918496495949e+48       3.571135055220e-05       3.933436473855e-01 
       1.283421931831e+13       4.589392725542e-24       3.611785359681e-08       3.553371850139e+20       1.385745002625e+04       1.079726758796e-09       1.778495528294e+17       2.085298215855e-08       7.465465586709e+40       4.223539501173e+30       2.745300675762e+31       7.711903571646e+15      -4.000000000000e-01       5.160985915484e+40       1.262645150536e+41       1.262645150536e+41       4.208817167398e+40      -4.661130396508e+48       3.586233967921e-05       3.916875754638e-01 
       1.269700333743e+13       4.689123470465e-24       3.650893631857e-08       3.477796868189e+20       1.385745002625e+04       1.091395320453e-09       1.759480892315e+17       2.107833945940e-08       7.151283692151e+40       4.089515815670e+30       2.658185280186e+31       7.564126611994e+15      -4.000000000000e-01       4.943787361170e+40       1.209507105639e+41       1.209507105639e+41       4.031690351107e+40      -4.417231280157e+48       3.601332880621e-05       3.900453900036e-01 
       1.256125438971e+13       4.791021434897e-24       3.690365701914e-08       3.403829254716e+20       1.385745002624e+04       1.103189983764e-09       1.740669549724e+17       2.130613218712e-08       6.850324049001e+40       3.959745043694e+30       2.573834278401e+31       7.419181382479e+15      -4.000000000000e-01       4.735729543291e+40       1.158605359526e+41       1.158605359526e+41       3.862017864097e+40      -4.186094471208e+48       3.616431793322e-05       3.884169170736e-01 
       1.242695679049e+13       4.895133714101e-24       3.730201569851e-08       3.331434823361e+20       1.385745002624e+04       1.115112111506e-09       1.722059327026e+17       2.153638666127e-08       6.562030202749e+40       3.834092229447e+30       2.492159949140e+31       7.277013620997e+15      -4.000000000000e-01       4.536427776677e+40       1.109845798230e+41       1.109845798230e+41       3.699485993142e+40      -3.967052166952e+48       3.631530706022e-05       3.868019856349e-01 
       1.229409502281e+13       5.001508426658e-24       3.770583134610e-08       3.260580114859e+20       1.385745002624e+04       1.127163081181e-09       1.703648073966e+17       2.176912948584e-08       6.285869117108e+40       3.712426699621e+30       2.413077354754e+31       7.137570105138e+15      -4.000000000000e-01       4.345513565520e+40       1.063138268541e+41       1.063138268541e+41       3.543794227543e+40      -3.759471508243e+48       3.646629618723e-05       3.852004274814e-01 
       1.216265373559e+13       5.110194736802e-24       3.811328497250e-08       3.191232381574e+20       1.385745002624e+04       1.139344285178e-09       1.685433663275e+17       2.200438755231e-08       6.021330188461e+40       3.594621927509e+30       2.336504252881e+31       7.000798632360e+15      -4.000000000000e-01       4.162633922049e+40       1.018396411321e+41       1.018396411321e+41       3.394654703503e+40      -3.562752751031e+48       3.661728531424e-05       3.836120771812e-01 
